Session_ID,Day,Ghost_No,Total_Ghost_No,Accuracy_Score,Water,TeaBag,Topping,Diagnostic_Duration_Sec,Click_Count,Timestamp
20260422_112152,1,1,1,53.85,f,h,s,6.16,4,2026-04-22 11:21:58.543594
20260422_112152,1,2,2,23.08,s,h,f,6.32,4,2026-04-22 11:22:06.057283
20260422_112152,1,3,3,23.08,h,s,f,6.16,4,2026-04-22 11:22:13.006447
20260422_112152,1,4,4,7.69,a,h,f,6.13,4,2026-04-22 11:22:19.874491
20260422_112152,1,5,5,7.69,s,h,a,4.47,4,2026-04-22 11:22:27.552647
20260422_112152,2,1,6,38.46,h,s,a,8.97,8,2026-04-22 11:22:41.006604
20260422_112152,2,2,7,7.69,h,s,a,6.25,4,2026-04-22 11:22:48.071616
20260422_112152,2,3,8,38.46,a,h,s,4.13,4,2026-04-22 11:22:55.318278
20260422_112152,2,4,9,23.08,a,h,s,5.39,4,2026-04-22 11:23:01.353801
20260422_112152,2,5,10,23.08,s,h,f,6.00,4,2026-04-22 11:23:08.184608
20260422_112152,3,1,11,23.08,h,s,f,5.32,4,2026-04-22 11:23:16.035005
20260422_112152,3,2,12,7.69,a,a,h,7.82,6,2026-04-22 11:23:24.698851
20260422_112152,3,3,13,7.69,a,h,s,12.18,9,2026-04-22 11:23:40.154593
20260422_112152,3,4,14,7.69,s,f,a,5.77,5,2026-04-22 11:23:49.142204
20260422_112152,3,5,15,38.46,h,s,a,5.09,4,2026-04-22 11:23:57.312377
20260422_112152,4,1,16,38.46,f,h,f,12.60,6,2026-04-22 11:24:12.868503
20260422_112152,4,2,17,23.08,s,h,a,6.09,4,2026-04-22 11:24:19.691796
20260422_112152,4,3,18,7.69,s,h,a,5.41,4,2026-04-22 11:24:25.820879
20260422_112152,4,4,19,0.00,a,s,h,6.94,4,2026-04-22 11:24:35.758433
20260422_112152,4,5,20,38.46,f,h,s,8.21,5,2026-04-22 11:24:47.188710
20260422_112152,5,1,21,23.08,s,h,a,12.70,6,2026-04-22 11:25:02.420240
20260422_112152,5,2,22,0.00,f,a,h,17.20,8,2026-04-22 11:25:20.259047
20260422_112152,5,3,23,0.00,s,h,a,4.05,4,2026-04-22 11:25:27.312331
20260422_112152,5,4,24,7.69,a,h,s,5.19,4,2026-04-22 11:25:35.995937
20260422_112152,5,5,25,53.85,f,h,a,5.07,4,2026-04-22 11:25:44.147390
20260422_112152,6,1,26,7.69,h,s,a,5.34,4,2026-04-22 11:25:51.770340
20260422_112152,6,2,27,38.46,f,h,s,5.00,4,2026-04-22 11:25:59.827256
20260422_112152,6,3,28,7.69,a,h,s,6.37,4,2026-04-22 11:26:07.018102
20260422_112152,6,4,29,69.23,f,h,s,4.48,4,2026-04-22 11:26:14.561936
20260422_112152,6,5,30,23.08,a,s,h,5.60,4,2026-04-22 11:26:21.294561
20260422_112152,7,1,31,0.00,a,s,a,4.57,4,2026-04-22 11:26:28.695342
20260422_112152,7,2,32,0.00,a,a,s,5.52,5,2026-04-22 11:26:37.294100
20260422_112152,7,3,33,23.08,a,a,f,5.85,4,2026-04-22 11:26:46.178218
20260422_112152,7,4,34,0.00,h,h,s,6.23,4,2026-04-22 11:26:53.119008
20260422_112152,7,5,35,0.00,s,h,s,4.53,4,2026-04-22 11:27:00.875505
20260422_112921,1,1,1,23.08,s,h,f,6.32,4,2026-04-22 11:29:27.735214
20260422_112921,1,2,2,38.46,s,h,a,4.87,4,2026-04-22 11:29:33.316943
20260422_112921,1,3,3,7.69,f,s,h,4.66,4,2026-04-22 11:29:38.806600
20260422_112921,1,4,4,53.85,s,h,f,4.76,4,2026-04-22 11:29:46.701809
20260422_112921,1,5,5,7.69,a,h,s,5.12,4,2026-04-22 11:29:52.460743
20260422_112921,2,1,6,23.08,s,h,f,4.97,4,2026-04-22 11:30:02.383834
20260422_112921,2,2,7,23.08,s,a,h,6.56,5,2026-04-22 11:30:09.659546
20260422_112921,2,3,8,23.08,s,h,f,4.96,4,2026-04-22 11:30:15.314154
20260422_112921,2,4,9,23.08,a,h,s,5.74,4,2026-04-22 11:30:21.687275
20260422_112921,2,5,10,23.08,h,a,s,5.50,4,2026-04-22 11:30:27.882584
20260422_112921,3,1,11,0.00,f,h,f,5.79,4,2026-04-22 11:30:35.880905
20260422_112921,3,2,12,69.23,h,s,a,6.41,4,2026-04-22 11:30:46.086945
20260422_112921,3,3,13,23.08,f,s,h,5.67,4,2026-04-22 11:30:52.569696
20260422_112921,3,4,14,0.00,a,a,h,5.92,4,2026-04-22 11:30:59.342338
20260422_112921,3,5,15,0.00,a,s,h,4.80,4,2026-04-22 11:31:07.249383
20260422_112921,4,1,16,23.08,a,h,s,5.01,4,2026-04-22 11:31:16.981294
20260422_112921,4,2,17,7.69,f,a,h,5.04,4,2026-04-22 11:31:22.836057
20260422_112921,4,3,18,23.08,h,s,a,6.20,4,2026-04-22 11:31:32.128883
20260422_112921,4,4,19,7.69,f,s,a,7.24,4,2026-04-22 11:31:42.004252
20260422_112921,4,5,20,38.46,h,s,a,4.77,4,2026-04-22 11:31:50.148067
20260422_112921,5,1,21,38.46,f,s,h,4.70,4,2026-04-22 11:31:57.106926
20260422_112921,5,2,22,0.00,h,s,a,5.21,4,2026-04-22 11:32:03.085470
20260422_112921,5,3,23,100.00,a,s,h,7.18,7,2026-04-22 11:32:13.228649
20260422_112921,5,4,24,7.69,f,a,h,5.42,4,2026-04-22 11:32:19.495976
20260422_112921,5,5,25,23.08,s,h,a,4.43,4,2026-04-22 11:32:26.911206
20260422_112921,6,1,26,69.23,s,h,a,5.16,4,2026-04-22 11:32:35.242170
20260422_112921,6,2,27,23.08,a,s,s,10.52,4,2026-04-22 11:32:46.425993
20260422_112921,6,3,28,0.00,s,h,a,5.77,4,2026-04-22 11:32:53.268476
20260422_112921,6,4,29,0.00,s,h,f,4.29,4,2026-04-22 11:33:00.718743
20260422_112921,6,5,30,23.08,a,f,s,12.70,6,2026-04-22 11:33:16.396415
20260422_112921,7,1,31,23.08,a,s,s,4.68,4,2026-04-22 11:33:24.660872
20260422_112921,7,2,32,7.69,a,h,h,5.91,4,2026-04-22 11:33:31.156014
20260422_112921,7,3,33,23.08,a,h,s,4.66,4,2026-04-22 11:33:38.964346
20260422_112921,7,4,34,23.08,a,s,h,5.54,4,2026-04-22 11:33:45.063646
20260422_112921,7,5,35,23.08,a,f,h,7.84,4,2026-04-22 11:33:53.533861
20260422_113359,1,1,1,23.08,a,s,h,11.79,7,2026-04-22 11:34:11.775147
20260422_113359,1,2,2,53.85,s,a,h,18.66,8,2026-04-22 11:34:31.711957
20260422_113359,1,3,3,69.23,f,a,s,10.51,6,2026-04-22 11:34:42.848578
20260422_113359,1,4,4,7.69,f,s,a,14.79,7,2026-04-22 11:34:58.240426
20260422_113359,1,5,5,53.85,f,a,h,18.80,9,2026-04-22 11:35:20.285522
20260422_113359,2,1,6,100.00,h,s,f,11.65,7,2026-04-22 11:35:34.317844
20260422_113359,2,2,7,53.85,h,a,f,18.88,12,2026-04-22 11:35:53.891061
20260422_113359,2,3,8,69.23,s,a,h,10.97,7,2026-04-22 11:36:05.549755
20260422_113359,2,4,9,53.85,f,a,h,15.38,8,2026-04-22 11:36:21.798089
20260422_113359,2,5,10,100.00,s,a,h,19.13,7,2026-04-22 11:36:41.976369
20260422_113359,3,1,11,23.08,s,a,f,19.11,9,2026-04-22 11:37:03.494374
20260422_113359,3,2,12,100.00,s,a,h,16.12,7,2026-04-22 11:37:20.446686
20260422_113359,3,3,13,23.08,f,a,h,13.82,9,2026-04-22 11:37:35.012968
20260422_113359,3,4,14,53.85,a,s,h,14.57,7,2026-04-22 11:37:50.294794
20260422_113359,3,5,15,38.46,f,a,h,29.37,17,2026-04-22 11:38:20.353570
20260422_113359,4,1,16,38.46,f,a,h,13.24,7,2026-04-22 11:38:36.820952
20260422_113359,4,2,17,100.00,a,f,s,14.24,7,2026-04-22 11:38:51.773668
20260422_113359,4,3,18,0.00,a,s,h,8.52,5,2026-04-22 11:39:01.042763
20260422_113359,4,4,19,7.69,h,a,s,17.43,12,2026-04-22 11:39:21.402110
20260422_113359,4,5,20,69.23,s,h,f,26.75,12,2026-04-22 11:39:51.219637
20260422_113359,5,1,21,23.08,s,h,a,5.08,4,2026-04-22 11:39:58.769291
20260422_113359,5,2,22,23.08,a,h,s,5.47,4,2026-04-22 11:40:04.914824
20260422_113359,5,3,23,7.69,f,a,h,5.64,4,2026-04-22 11:40:11.269163
20260422_113359,5,4,24,23.08,a,s,h,4.31,4,2026-04-22 11:40:18.603216
20260422_113359,5,5,25,23.08,a,s,h,5.42,4,2026-04-22 11:40:24.722753
20260422_113359,6,1,26,7.69,f,a,h,5.99,4,2026-04-22 11:40:32.959338
20260422_113359,6,2,27,23.08,h,s,a,4.82,4,2026-04-22 11:40:40.821296
20260422_113359,6,3,28,0.00,f,s,f,6.54,4,2026-04-22 11:40:48.036695
20260422_113359,6,4,29,69.23,f,h,s,5.12,4,2026-04-22 11:40:56.088519
20260422_113359,6,5,30,53.85,s,h,a,59.56,5,2026-04-22 11:41:56.344986
20260422_113359,7,1,31,23.08,h,a,s,6.84,5,2026-04-22 11:42:06.329718
20260422_113359,7,2,32,0.00,f,a,s,10.12,4,2026-04-22 11:42:17.051410
20260422_113359,7,3,33,23.08,s,a,h,9.39,4,2026-04-22 11:42:30.304023
20260422_113359,7,4,34,38.46,f,s,h,5.52,4,2026-04-22 11:42:36.561946
20260422_113359,7,5,35,53.85,a,s,f,7.36,5,2026-04-22 11:42:44.581055
